Princeton,9,6596,2.67609152775,6575
BC,9,11509,2.79183732246,11498
Bingham,8,10004,2.82040437956,10001
JMU,7,14070,2.82987188283,14070
Stanford,9,11621,2.81856543932,11586
Amherst,7,2235,2.40366113291,2235
Mississippi,7,10521,2.62201341551,10519
Vassar,8,3068,2.46217186018,3068
Bucknell,6,3826,2.50709179301,3824
UPenn,9,14916,2.8640765358,14888
Syracuse,7,13653,2.86241154667,13640
American,9,6386,2.76596933784,6370
William,8,6472,2.60508718273,6472
Simmons,7,1518,2.57035886228,1510
UNC,7,18163,2.8013603951,18158
UCSD,9,14948,3.00673263843,14936
Rutgers,8,24580,3.09669913378,24568
UCSC,8,8991,3.0287586458,8979
Rochester,7,4563,2.64265492717,4561
Temple,8,13686,3.04821673667,13653
Georgetown,11,9414,2.75688272257,9388
Cornell,8,18660,2.8758883503,18621
Oberlin,7,2920,2.57942202011,2920
Harvard,11,15126,2.88542967288,15086
Williams,6,2790,2.4159885593,2788
Oklahoma,9,17425,2.76786160433,17420
Hamilton,6,2314,2.3628464138,2312
Howard,7,4047,2.41740420059,4047
USFCA,7,2682,2.69090749613,2672
Middlebury,7,3075,2.50654057078,3069
Johns Hopkins,8,5180,2.71021213944,5157
Maine,7,9069,2.93136463192,9065
Brown,9,8600,2.69615585557,8586
Carnegie,8,6637,2.73806669341,6621
Penn,8,41554,3.12165150388,41536
Haverford,6,1446,2.22786639674,1446
Texas,8,31560,3.0522886536,31538
Wesleyan,7,3593,2.55298475219,3591
USF,8,13377,3.13269344673,13367
GWU,9,12193,2.82578538375,12164
Maryland,7,20871,2.93688610181,20829
MIT,8,6440,2.72027537286,6402
UC,8,6833,3.01499216399,6810
Santa,8,3578,2.485804515,3578
Emory,8,7460,2.71658480676,7449
Baylor,7,12803,2.66752923454,12799
Mich,7,3748,2.83942978102,3745
Lehigh,6,5075,2.62505099055,5073
Auburn,7,18448,2.67546952214,18448
UGA,8,24389,2.84981331685,24380
Reed,6,962,2.46146058009,962
Smith,7,2970,2.4976571599,2970
Texas,7,36371,2.89372853446,36364
NYU,8,21679,3.00711153547,21623
Vanderbilt,7,8069,2.61295399695,8063
Brandeis,7,3898,2.49078662117,3887
Caltech,6,769,2.33784804495,762
Swarthmore,6,1659,2.31817658361,1657
Northeastern,9,13882,3.03614576642,13868
USC,9,17444,2.80082725448,17440
Dartmouth,8,7694,2.76792983488,7677
UC,8,13746,2.98688324999,13736
UCF,8,14940,2.91998831214,14936
Duke,8,9895,2.71214107931,9885
Vermont,7,7324,2.90347125109,7322
UCSB,8,14935,2.99659387288,14917
Columbia,9,11770,2.83652366359,11706
Berkeley,7,22937,2.93990592065,22900
UVA,8,17196,2.80638922806,17178
Notre Dame,8,12155,2.73974585349,12149
Wellesley,8,2970,2.5851341528,2970
FSU,8,27737,3.01995229451,27731
Trinity,6,2613,2.42758524494,2613
Michigan,9,30147,3.05532845674,30106
UF,8,35123,2.92646449875,35111
BU,9,19700,3.02782661135,19666
Tennessee,7,16979,2.75194971192,16977
MU,7,15436,2.84949836749,15425
Indiana,8,29747,2.96129914585,29732
Northwestern,9,10567,2.72348380934,10537
UCLA,8,20467,3.01938138136,20453
Villanova,7,7772,2.7441987472,7755
Wisconsin,9,23842,2.95499132028,23831
Cal,8,11247,2.94535888887,11243
Colgate,6,3482,2.45657141641,3482
Wake,9,5372,2.5141467505,5366
MSU,8,32375,3.04342072851,32361
Bowdoin,6,2252,2.42871518206,2250
Pepperdine,9,3445,2.49972223537,3440
Rice,6,4087,2.4676796502,4083
Tufts,10,6682,2.76511252398,6672
Tulane,8,7752,2.80990362916,7740
UC,8,16808,3.02794464098,16800
UChicago,10,6591,2.80769416285,6561
UMass,8,16516,2.93362468213,16502
UConn,8,17212,2.9180804882,17206
WashU,8,7755,2.63522229496,7730
UIllinois,8,30809,2.98542523455,30795
Yale,9,8578,2.67743928399,8561
Virginia,9,21325,2.86933122342,21319
